engine_id,cycle,RUL,anomaly,s2,s3,s4,s7,s11,s12,s15
1,1,191,0,641.82,1589.7,1400.6,554.36,47.47,521.66,8.4195
1,2,190,0,642.15,1591.82,1403.14,553.75,47.49,522.28,8.4318
1,3,189,0,642.35,1587.99,1404.2,554.26,47.27,522.42,8.4178
1,4,188,0,642.35,1582.79,1401.87,554.45,47.13,522.86,8.3682
1,5,187,0,642.37,1582.85,1406.22,554.0,47.28,522.19,8.4294
1,6,186,0,642.1,1584.47,1398.37,554.67,47.16,521.68,8.4108
1,7,185,0,642.48,1592.32,1397.77,554.34,47.36,522.32,8.3974
1,8,184,0,642.56,1582.96,1400.97,553.85,47.24,522.47,8.4076
1,9,183,0,642.12,1590.98,1394.8,553.69,47.29,521.79,8.3728
1,10,182,0,641.71,1591.24,1400.46,553.59,47.03,521.79,8.4286
1,11,181,0,642.28,1581.75,1400.64,554.54,47.15,521.4,8.434
1,12,180,0,642.06,1583.41,1400.15,554.52,47.18,521.8,8.3938
1,13,179,0,643.07,1582.19,1400.83,553.44,47.38,521.85,8.4152
1,14,178,0,642.35,1592.95,1399.16,554.48,47.44,521.67,8.3964
1,15,177,0,642.43,1583.82,1402.13,553.64,47.3,522.5,8.4199
1,16,176,0,642.13,1587.98,1404.5,553.94,47.24,521.49,8.3936
1,17,175,0,642.58,1584.96,1399.95,553.8,47.12,521.89,8.4542
1,18,174,0,642.62,1591.04,1396.12,554.2,47.21,521.76,8.4028
1,19,173,0,641.79,1587.56,1400.35,554.18,47.4,521.89,8.4321
1,20,172,0,643.04,1581.11,1405.23,554.81,47.22,522.07,8.421
1,21,171,0,642.37,1586.07,1398.13,554.08,47.15,522.42,8.4049
1,22,170,0,642.77,1592.93,1400.57,553.63,47.24,522.0,8.4034
1,23,169,0,642.14,1588.19,1394.75,553.98,47.25,521.52,8.424
1,24,168,0,642.38,1590.83,1398.81,553.49,47.44,522.13,8.3891
1,25,167,0,642.77,1594.1,1399.39,554.0,47.36,522.56,8.3917
1,26,166,0,642.16,1589.08,1396.07,554.11,47.26,522.28,8.426
1,27,165,0,642.44,1590.47,1401.84,554.07,47.37,522.0,8.4046
1,28,164,0,642.35,1582.84,1399.13,554.68,47.41,522.57,8.4323
